GNU source family	Semantic contract	Rust owner	Compile status	Implementation status	Suite evidence	Next gate
redir.c; redir.h; tests/redir*.tests; tests/vredir*.sub	Ordered redirections, dynamic descriptors, dup/move/close, heredoc precedence	src/executor/fd_table.rs;src/executor/redirection.rs;src/executor/trap_exec.rs	active	partial	executor_tests::command_chaining::part_080;run-redir;run-vredir	migrate external child setup and remove the fd env mirror
subst.c; variables.c; builtins/set.def	Typed shell values, command-substitution readback, IFS-aware quote-preserving word materialization	src/shell/state.rs;src/shell/variables.rs;src/executor/substitution_metadata.rs;src/executor/embedded_mutations.rs;src/executor/command_prepare.rs	active	partial	array;assoc;builtins;substitution_metadata tests;compat_issue_regressions mixed/multiple/quoted-empty tests	route remaining parameter/assignment/heredoc expansion through fragment metadata and remove legacy sentinel restoration
array.c; array2.c; arrayfunc.c; assoc.c	Sparse indexed arrays, associative arrays, attributes, nameref	src/shell/variables.rs;src/shell/arrays/	active	scaffold	array;assoc;nameref	replace delimiter encoding in internal array mutations
jobs.c; jobs.h; nojobs.c; builtins/wait.def; builtins/fg.def; builtins/bg.def; builtins/disown.def; tests/jobs.tests	Process-level state, pipeline aggregation, current/previous jobs, jobspec resolution, wait ordering, fg/bg/disown retention	src/jobs/table.rs;src/executor/job_builtins.rs	active	partial	run-jobs;trap;focused JobTable state tests;bounded background/coproc tests	finish native stop/continue signaling and full jobs builtin differential coverage
builtins/set.def	set option parsing and invalid-option usage status	src/builtins/set.rs;src/builtins/set/options.rs	active	partial	cargo test --lib set; GNU Bash set -Z probe	complete option/output parity and shell-state coverage
builtins/umask.def	umask option parsing, mode state, and invalid-option usage status	src/builtins/umask.rs	active	partial	cargo test --lib umask; GNU Bash umask -Z probe	complete host mask integration and diagnostic parity
coproc_command.c; process_substitution.c; tests/coproc.tests; tests/procsub.tests	Background endpoints and descriptor lifetime across coproc/procsub	src/jobs/table.rs;src/executor/fd_table.rs;src/parser/coproc_command.rs	active	bridge	run-coproc;run-procsub	remove upstream bridge after endpoint tests are green
lib/readline/*; input.c; tests/input*.tests	Interactive line editing and history	src/input/readline/;host-owned	unreferenced	deferred	interactive host tests	host/editor contract and noninteractive boundary
lib/intl/*; locale.c	Locale and message catalog portability	host-owned	active	host-owned	environment-specific	document host locale contract
subst.c; variables.c; support/getopts_long.sh	Dynamic braced parameter names and quoted positional arguments through eval	src/executor/expand_braced_special.rs;src/executor/embedded_parameters.rs	active	partial	bashdb_compat::getopts_long_preserves_quoted_positional_arguments_through_eval; official bashdb launcher smoke	cover nested dynamic names, empty sentinels, and indirect assignment forms without regressions
